START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/21/16,07:05 PM,07:05 PM,Marlins at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN",07/21/16,07/21/16,10:05 PM,10:05 PM,FALSE,TRUE,07/21/16,06:05 PM,06:05 PM,FREE,BUSY
07/22/16,07:05 PM,07:05 PM,Phillies at Pirates,PNC Park - Pittsburgh,"Local TV: NBC 10",07/22/16,07/22/16,10:05 PM,10:05 PM,FALSE,TRUE,07/22/16,06:05 PM,06:05 PM,FREE,BUSY
07/23/16,04:05 PM,04:05 PM,Phillies at Pirates,PNC Park - Pittsburgh,"Local TV: CSN",07/23/16,07/23/16,07:05 PM,07:05 PM,FALSE,TRUE,07/23/16,03:05 PM,03:05 PM,FREE,BUSY
07/24/16,01:35 PM,01:35 PM,Phillies at Pirates,PNC Park - Pittsburgh,"Local TV: CSN",07/24/16,07/24/16,04:35 PM,04:35 PM,FALSE,TRUE,07/24/16,12:35 PM,12:35 PM,FREE,BUSY
07/25/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",07/25/16,07/25/16,10:10 PM,10:10 PM,FALSE,TRUE,07/25/16,06:10 PM,06:10 PM,FREE,BUSY
07/26/16,07:10 PM,07:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",07/26/16,07/26/16,10:10 PM,10:10 PM,FALSE,TRUE,07/26/16,06:10 PM,06:10 PM,FREE,BUSY
07/27/16,12:10 PM,12:10 PM,Phillies at Marlins,Marlins Park - Miami,"Local TV: CSN",07/27/16,07/27/16,03:10 PM,03:10 PM,FALSE,TRUE,07/27/16,11:10 AM,11:10 AM,FREE,BUSY
07/28/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",07/28/16,07/28/16,10:10 PM,10:10 PM,FALSE,TRUE,07/28/16,06:10 PM,06:10 PM,FREE,BUSY
07/29/16,07:35 PM,07:35 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: CSN",07/29/16,07/29/16,10:35 PM,10:35 PM,FALSE,TRUE,07/29/16,06:35 PM,06:35 PM,FREE,BUSY
07/30/16,07:10 PM,07:10 PM,Phillies at Braves,Turner Field - Atlanta,"Local TV: NBC 10",07/30/16,07/30/16,10:10 PM,10:10 PM,FALSE,TRUE,07/30/16,06:10 PM,06:10 PM,FREE,BUSY
